zanr,statistikaZanra
Romance,1464
Supernatural,1037
Super Power,465
Yuri,42
Martial Arts,265
Horror,369
Space,381
Josei,54
Shoujo,603
Shounen Ai,65
Kids,1609
Hentai,1141
Slice of Life,1220
Fantasy,2309
Psychological,229
Ecchi,637
?,62
Mecha,944
Parody,408
Sci-Fi,2070
School,1220
Game,181
Dementia,240
Thriller,87
Sports,543
Adventure,2348
Vampire,102
Cars,72
Harem,317
Music,860
Action,2845
Demons,294
Shounen,1712
Shoujo Ai,55
Historical,806
Comedy,4645
Police,197
Samurai,148
Magic,778
Drama,2016
Military,426
Yaoi,39
Seinen,547
Mystery,495
